Section,Metric,Value,Notes / Formula
Inputs,Sales channel,in_app,"Use: in_app or web"
Inputs,Paid price (monthly),10,USD
Inputs,Platform fee rate (App Store/Play),0.15,"Usually 0.15 (15%); some cases 0.30 (30%)"
Inputs,Payment processing rate (web only),0.029,"Stripe approx; only used when Sales channel=web"
Inputs,Payment processing fixed fee (web only),0.3,"USD per transaction; only used when Sales channel=web"
Inputs,Paying subscribers (#),100,
Inputs,MAU free users (#),1000,
Inputs,Ad revenue per free user per month,0.15,USD (rough placeholder)

AI Usage (per paying user / month),Tutor answers,200,
AI Usage (per paying user / month),AI note actions (summarize/feedback/etc),150,
AI Usage (per paying user / month),Test prep generations,40,
AI Usage (per paying user / month),Source imports (URL/PDF/video),60,
AI Usage (per paying user / month),Transcription minutes,60,

AI Unit Costs (your estimate),Cost per tutor answer,0.01,USD
AI Unit Costs (your estimate),Cost per AI note action,0.008,USD
AI Unit Costs (your estimate),Cost per test prep generation,0.03,USD
AI Unit Costs (your estimate),Cost per source import,0.02,USD
AI Unit Costs (your estimate),Cost per transcription minute,0.01,USD

Other monthly costs,Hosting (Render),25,USD
Other monthly costs,Database/storage (Supabase),25,USD
Other monthly costs,Support/tools/misc,25,USD

Revenue,Paid gross revenue,=C3*C7,price * paying subscribers
Revenue,Less platform fees,=IF(C2="in_app",C4*C27,0),
Revenue,Less payment processing (web only),=IF(C2="web",(C5*C27)+(C6*C7),0),
Revenue,Paid net revenue,=C27-C28-C29,
Revenue,Paid net per subscriber,=IF(C7=0,0,C30/C7),
Revenue,Ad revenue (free users),=C8*C9,
Revenue,Total net revenue,=C30+C32,

AI Costs (per paying user / month),Tutor,=C11*C17,
AI Costs (per paying user / month),AI note actions,=C12*C18,
AI Costs (per paying user / month),Test prep,=C13*C19,
AI Costs (per paying user / month),Source imports,=C14*C20,
AI Costs (per paying user / month),Transcription,=C15*C21,
AI Costs (per paying user / month),Total,=SUM(C35:C39),
AI Costs (monthly),Total AI cost (paying users),=C40*C7,

Costs,Other monthly costs total,=SUM(C23:C25),

Profit,Monthly profit,=C33-C41-C43,
Profit,Profit per paying user,=IF(C7=0,0,C45/C7),

Break-even,Payers needed to break even,=IF(C31<=0,"n/a",ROUNDUP((C41+C43)/C31,0)),"Approx; ignores ads"
